DoctorNo,DoctorID,RoomNo,FirstName,SecondName,GovHospital,BasicPayment($),Experience(years)
32,AV1bd6sS3D1zeR_xFZmD,32,GUZIK,THOMAS,St Vincent's Birmingham,86.304,2
33,AV5TDXKzIxWefVJwnlhH,33,STOCKSTILL,TIMOTHY,Bibb Medical Center,6.858,25
34,AVwcp0W3_7pvs4fzxgCM,34,WAX,VALERIE,Lawrence Medical Center,15.76,12
35,AWkq018zIxWefVJwH21i,35,ANELLO,VIOLET,Highlands Medical Center,29.472,6
36,AV2j3_Mj3-Khe5l_QnyS,36,BLASKO,WILLA,Wiregrass Medical Center,1097.544,20
37,AV0ZGbed-gnIPe8DVctj,37,FRESE,WYATT,Russell Medical Center,190.92,1
38,AVwdeHoGIN2L1WUfwJVZ,38,BERTHOLD,XAVIER,Medical Center Barbour,113.328,1
39,AV12jtkHa4HuVbed9bOg,39,MOREFIELD,XIMENA,Clay County Hospital,532.3992,19
40,AVwd1Y2pkufWRAb59qUj,40,BAPTIST,ZAINAB,Northeast Alabama Regional Medical Center,212.058,3
41,AWrPGYnRcuP9ADUBCdOF,41,LEGAULT,ZARIAH,Athens Limestone Hospital,371.168,1
42,AV0X0RtI-gnIPe8DVSbC,42,BOUFFARD,ZOE,South Baldwin Regional Medical Center,147.168,15
43,AWrPDnYhZ4Yw-wtdgM4i,43,BEBOUT,ZOEY,Decatur Morgan Hospital-decatur Campus,77.88,1
44,AWdnNy68a4HuVbedarXq,44,DARNALL,AALIYAH,Northwest Medical Center,95.616,2
45,AVwcmvOhByjofQCxgJyh,45,BUSCEMI,AARON,University Of South Alabama Medical Center,45.98,10
46,AVwdjLyg_7pvs4fz6_Q_,46,BUENTELLO,AARON,Walker Baptist Medical Center,17.46,16
47,AVweEg_oByjofQCxvA1V,47,SCROGGS,ABEL,Providence Hospital,211.96,5
48,AVwc1pbrkufWRAb5zjZV,48,GATTON,ABIGAIL,Grove Hill Memorial Hospital,45,3
49,AWkqysnTa4HuVbedkWAv,49,TURNQUIST,ABRAHAM,D C H Regional Medical Center,21.8,8
50,AWjSP5amRxPSIh2RAOJh,50,LUCHT,ADRIANNA,Hale County Hospital,38.22,9
51,AWkq2zP0RxPSIh2RCTt_,51,REMICK,AHARON,Elmore Community Hospital,75.18,11
52,AWrOz8GpQTFama1XpUkG,52,GODLEWSKI,AHMED,D W Mcmillan Memorial Hospital,6.16,16
53,AWkq3-IP3-Khe5l_3CBh,53,BRADT,AHMED,Thomas Hospital,89.99,37
54,AV4jAN2da4HuVbed_hC5,54,WALDORF,AIDEN,Citizens Baptist Medical Center,15.26,2
55,AWrOvfO2sVYjT2BJAiyg,55,ZERINGUE,ALAN,J Paul Jones Hospital,1029.95,25
56,AWrOvfNQsVYjT2BJAiyf,56,ROWEN,ALAN,Princeton Baptist Medical Center,208.56,12
57,AWrOuvTWsVYjT2BJAiuh,57,MOWBRAY,ALANI,Grandview Medical Center,32.4,6
58,AVwc5JSs_7pvs4fz0Fht,58,PARKEY,ALEXANDER,Prattville Baptist Hospital,319.41,20
59,AWkq0M-BRxPSIh2RCMpF,59,ENGRAM,ALEXANDER,Pickens County Medical Center,14.56,1
60,AVweSluEByjofQCxw7Vy,60,MAZZARELLA,ALEXANDRA,Bullock County Hospital,30,1
61,AWg_Ep9RIxWefVJwBNim,61,KIRKBRIDE,ALEXIS,Bryan W. Whitfield Memorial Hospital,48.48,19
62,AVwdV0sCkufWRAb544c8,62,GRIDLEY,ALFRED,Mobile Infirmary Medical Center,1.68,3
63,AWCILJYb3-Khe5l_chL2,63,KASTER,ALICE,"Medical West, An Affiliate Of Uab Health System",13.98,1
64,AVwdAgpgkufWRAb51VsH,64,LORENZANA,ALICE,Vaughan Regional Medical Center Parkway Campus,25.824,15
65,AWkq3w393-Khe5l_3BuL,65,WAREHAM,ALICIA,Monroe County Hospital,146.73,1
66,AWrOlG91QTFama1XpUMw,66,STAR,ALISON,Lakeland Community Hospital,79.76,2
67,AWAGPRR2RxPSIh2Rohyv,67,MARSHBURN,ALLISON,Troy Regional Medical Center,213.115,10
68,AWkq1tnpIxWefVJwH5Mj,68,EVERMAN,ALVIN,Jackson Medical Center,1113.024,16
69,AWoxr510cuP9ADUB4OUq,69,WOLFRAM,AMELIA,North Baldwin Infirmary,167.968,5
70,AWkq4R6I3-Khe5l_3Cfu,70,ZICK,AMIYAH,St Vincent's St Clair,75.88,3
71,AWrOWVuZsVYjT2BJAiRy,71,HYUN,ANA,Crestwood Medical Center,4.616,8
72,AV3iSxhURxPSIh2ReS4y,72,YERGER,ANDERSON,Hill Hospital Of Sumter County,19.05,9
73,AVwdtyy2ByjofQCxr1hb,73,BAHAM,ANGELINA,Brookwood Baptist Medical Center,831.936,11
74,AWdnOITYa4HuVbedar0e,74,GEBHARD,ANGIE,Springhill Memorial Hospital,97.04,16
75,AV1XWzuFFcQ3k02bFm-C,75,RUF,ANGIE,Rmc Jacksonville,72.784,37
76,AVwcn3tl_7pvs4fzxLEd,76,SUCHY,ANTONIO,Evergreen Medical Center,1.248,2
77,AV3iSsrK3-Khe5l_RT-A,77,TIEMAN,ARIA,Baptist Medical Center East,9.708,25
78,AVwdgjgj_7pvs4fz6lUE,78,WENZ,AUTUMN,L V Stabler Memorial Hospital,27.24,12
79,AVwcs_zzkufWRAb5yHDD,79,SCHIRO,AVA,Shoals Hospital,19.3,6
80,AWkq4sE63-Khe5l_3DDs,80,FOUT,AVA,Russellville Hospital,208.16,20
81,AVwcwMzj_7pvs4fzyl_Z,81,ABDO,AVI,Coosa Valley Medical Center,16.74,1
82,AWrOQpq7Z4Yw-wtdgLal,82,HAYTER,AVRUM,Jack Hughston Memorial Hospital,14.9,1
83,AVwcokOeByjofQCxgefA,83,CLEAVES,AXEL,Atmore Community Hospital,21.39,19
84,AV5TD9Aea4HuVbedCNLo,84,FRITSCHE,AYDEN,St Vincent's Chilton,200.984,3
85,AWrOQTaBcuP9ADUBCbrK,85,MEURER,BENSON,Washington County Hospital,230.376,1
86,AWrOQRMnQTFama1XpTpF,86,RIENDEAU,BLIMA,Red Bay Hospital,301.96,15
87,AWe0zWbEa4HuVbedcwB2,87,VENTIMIGLIA,BRANDON,Choctaw General Hospital,19.99,1
88,AVwd1D-nIN2L1WUfzlNe,88,CERVERA,BRIAN,St Vincents Blount,6.16,2
89,AWrOP5-4Z4Yw-wtdgLR3,89,MALLOW,BROOKE,Children's Hospital Of Alabama,158.368,10
90,AVzBIeU2-gnIPe8DSkRo,90,ALLIE,BROOKE,University Of S A Children's And Women's Hos,20.1,16
91,AWrOPspncuP9ADUBCbjh,91,HANSCOM,BRUCHY,Providence Alaska Medical Center,73.584,5
92,AWrOPpgfcuP9ADUBCbi-,92,VILORIA,BRYCE,Mat-su Regional Medical Center,6.48,3
93,AVwctxL2kufWRAb5yPjM,93,DUBON,BRYCE,Bartlett Regional Hospital,12.96,8
94,AV3iSvoHRxPSIh2ReSys,94,LEESON,CALVIN,Fairbanks Memorial Hospital,53.34,9
95,AV24G1hV3-Khe5l_Q8C7,95,RUFFING,CAMDEN,Alaska Regional Hospital,32.96,11
96,AWdsZEQK3-Khe5l_tbYf,96,JONSON,CELINE,Yukon Kuskokwim Delta Reg Hospital,5.682,16
97,AVwcfMbLkufWRAb5vrHx,97,FENIMORE,CHAIM,Central Peninsula General Hospital,96.53,37
98,AV1tg_y4IxWefVJwhAt3,98,GONZAGA,CHANA,Alaska Native Medical Center,51.312,2
99,AWB0xlM3RxPSIh2RpbK2,99,SCHRIVER,CHARLES,Providence Valdez Medical Center,77.88,25
100,AWBDfhmqIxWefVJwuvxG,100,TRAINA,CHARLIE,Providence Seward Hospital,64.624,12
101,AV1ZO6HUFcQ3k02bFslz,101,MECCA,CHARLIE,Sitka Community Hospital,95.976,6
102,AVwdeOKjByjofQCxpdcH,102,LANTIGUA,CHRISTOPHER,Petersburg Medical Center,1.788,20
103,AWrOPNSgcuP9ADUBCbef,103,BARIL,CHRISTOPHER,Wrangell Medical Center,23.92,1
104,AV12hd-za4HuVbed9IWl,104,HARFORD,CHRISTOPHER,Providence Kodiak Island Medical Ctr,238.896,1
105,AWdsWsA3IxWefVJw-EKY,105,BARTOW,CINDY,Cordova Community Medical Center,102.36,19
106,AWrOAN8QQTFama1XpTRp,106,ASBELL,CRISTIAN,Norton Sound Regional Hospital,36.882,3
107,AWjSL2sPRxPSIh2RANLx,107,RUMLEY,CRYSTAL,Kanakanak Hospital,74.112,1
108,AWrOAM3CQTFama1XpTRn,108,BROGDEN,DAKOTA,Maniilaq Health Center,27.992,15
109,AV_ELtnnIxWefVJwsheu,109,DERRYBERRY,DANIEL,Ketchikan Medical Center,3.304,1
110,AVwdmWeEIN2L1WUfxaOP,110,KETNER,DIEGO,Samuel Simmonds Memorial Hospital,339.96,2
111,AWhr62YxRxPSIh2R9b1Z,111,DAKIN,DIEGO,South Peninsula Hospital,41.96,10
112,AWdsX29ia4HuVbeda59W,112,WASS,DOMINIC,Mt Edgecumbe Hospital,75.96,16
113,AV1tfaxYIxWefVJwg2KU,113,FALLIS,DOMINIC,Banner - University Medical Center Phoenix,27.24,5
114,AV1XXDMVFcQ3k02bFo5q,114,WADA,EDWIN,Tucson Medical Center,40.096,3
115,AV0X24JH3D1zeR_xDxes,115,STUDDARD,EGYPT,Verde Valley Medical Center,4.72,8
116,AWkq4WKqIxWefVJwH-rJ,116,LECROY,ELIAN,St. Mary's Hospital,23.976,9
117,AWE71GxLa4HuVbedNkMl,117,FETTY,ELIAS,St Joseph's Hospital,130.464,11
118,AVweHFfnByjofQCxvXSU,118,NASS,ELIZABETH,Yavapai Regional Medical Center,787.53,16
119,AVweIR0R_7pvs4fzASx2,119,CHUTE,ELLA,Yuma Regional Medical Center,157.794,37
120,AV4i_QViRxPSIh2Retf5,120,PARMAN,ELLIOTT,John C. Lincoln North Mountain Hospital,47.04,2
121,AVwdNS15ByjofQCxmpIN,121,BEVANS,EMANUEL,Banner Casa Grande Medical Center,30.84,25
122,AVwdVODpkufWRAb54yEA,122,HEADEN,EMELY,Maricopa Medical Center,226.56,12
123,AVwcmfpMkufWRAb5w_Ye,123,HYSELL,EMMA,Flagstaff Medical Center,115.02,6
124,AWrN0onccuP9ADUBCa3t,124,MERTEN,EMMA,St. Joseph's Hospital And Medical Center,68.04,20
125,AVweJJxfByjofQCxvpRF,125,MOST,ENZO,Abrazo Central Campus,600.558,1
126,AWrNzShfZ4Yw-wtdgKiT,126,FUSS,ERIC,Chandler Regional Medical Center,617.7,1
127,AVwcsN0zByjofQCxhHmy,127,SCHRANK,ESTHER,St Luke's Medical Center,2.388,19
128,AV9J3PM63-Khe5l_YUY7,128,LAST,ETHAN,Scottsdale Osborn Medical Center,243.992,3
129,AVwdZpLjByjofQCxouUp,129,EVEN,ETHAN,Canyon Vista Medical Center,81.424,1
130,AVwcldHX_7pvs4fzwu8m,130,VAZ,ETTY,Kingman Regional Medical Center,238.56,15
131,AVwc76FukufWRAb50mJ3,131,SIFFORD,EVA,Banner Boswell Medical Center,59.97,1
132,AWAFpAZOIxWefVJwuF43,132,STREETS,EVAN,Summit Healthcare Regional Medical Center,78.304,2
133,AWdsYd4-a4HuVbeda7XN,133,CLAUDE,EVELYN,Banner - University Medical Center Tucson Campus,21.456,10
134,AVweSw-_IN2L1WUf3qrt,134,BRONSTEIN,EZEKIEL,Banner Desert Medical Center,20.04,16
135,AV0X2ejYFcQ3k02bELO2,135,SHERBURNE,GABRIEL,Mt. Graham Regional Medical Center,35.44,5
136,AV4i_rVEa4HuVbed_gTX,136,WADKINS,GABRIEL,Havasu Regional Medical Center,11.52,3
137,AV12iuhwRxPSIh2RcXdC,137,GASCON,GABRIELA,Fort Defiance Indian Hospital,4.02,8
138,AWkqyqcLRxPSIh2RCIlG,138,SEITER,GAVIN,Tuba City Regional Health Care Corporation,76.176,9
139,AWrNxPKFcuP9ADUBCauD,139,STEFFAN,GIA,Sells Hospital,65.88,11
140,AWAF3Gyi3-Khe5l_bUaW,140,CARDOZO,GREYSON,San Carlos Apache Healthcare,43.12,16
141,AVweCZIbIN2L1WUf1cDR,141,HENRICKS,HANNA,Phoenix Indian Medical Center,82.8,37
142,AVwdOHdg_7pvs4fz3ixW,142,CLAFLIN,HAYLEY,Abrazo Scottsdale Campus,8.82,2
143,AV1tgnebIxWefVJwg-J7,143,ETZEL,HAZEL,Chinle Comprehensive Health Care Facility,10.86,25
144,AV1dvS6PIxWefVJwfEbb,144,KULAS,HAZEL,Northwest Medical Center,143.7,12
145,AVwdadSpByjofQCxo2p7,145,TRINKLE,HUDSON,Scottsdale Shea Medical Center,839.43,6
146,AV5Scvv-a4HuVbedCF40,146,ORTEGON,IRIS,Banner Baywood Medical Center,671.93,20
147,AVweU8jZ_7pvs4fzCBN5,147,PHANEUF,ISAAC,Banner Thunderbird Medical Center,93.888,1
148,AWoxuE7rsVYjT2BJ2d7m,148,LANGWORTHY,ISABELLE,Honorhealth Deer Valley Medical Center,384.45,1
149,AWkqzxhxRxPSIh2RCLpB,149,BARB,ISAIAH,Banner Del E. Webb Medical Center,149.97,19
150,AVwc-KHIIN2L1WUfq3up,150,MAZON,IVY,Abrazo Arrowhead Campus,1951.84,3
151,AWoxprrnZ4Yw-wtdV849,151,VENEY,JACE,Western Arizona Regional Medical Center,171.55,1
152,AV1l3OmuRxPSIh2Ra583,152,REDONDO,JACE,Mayo Clinic Hospital,157.92,15
153,AWrNmnKTQTFama1XpSTG,153,TIEU,JACKSON,Banner Heart Hospital,203.184,1
154,AWlb0E13RxPSIh2RFJgG,154,LAURSEN,JACOB,Arizona Spine And Joint Hospital,58.38,2
155,AVzfAKJy3D1zeR_xCEcx,155,NANEZ,JADE,"Core Institute Specialty Hospital, The",105.52,10
156,AWBklypoIxWefVJwu8WH,156,VOTAW,JADE,Abrazo West Campus,80.88,16
157,AVweOm2kIN2L1WUf3Gbd,157,WALRAVEN,JAIDEN,Banner-university Medical Center South Campus,6.63,5
158,AWrNlz-3sVYjT2BJAglC,158,ABELLA,JAMES,Arizona Specialty Hospital,457.568,3
159,AVweAv4C_7pvs4fz_QAL,159,DSOUZA,JANIYAH,Whiteriver Phs Indian Hospital,14.62,8
160,AVwdL1HckufWRAb53L7z,160,BAYLEY,JAXSON,Oro Valley Hospital,944.93,9
161,AVwd273zByjofQCxtHu9,161,TOWNSON,JAXSON,Banner Estrella Medical Center,5.98,11
162,AVwdHWJ3kufWRAb52cu5,162,APPLEBAUM,JAY,Valley View Medical Center,54.384,16
163,AWBDnkkHIxWefVJwuv_Y,163,MAZZEI,JAYDEN,Mercy Gilbert Medical Center,28.4,37
164,AWFXR8BiRxPSIh2RtLQF,164,PICHE,JAYDEN,"Mountain Vista Medical Center, Lp",27.68,2
165,AVweVPD3IN2L1WUf3_gT,165,RIVENBARK,JAYLEN,Banner Gateway Medical Center,9.936,25
166,AVweELXcByjofQCxu94r,166,URREA,JEREMIAH,Scottsdale Thompson Peak Medical Center,8159.952,12
167,AVweWyH3kufWRAb5CNIF,167,DOLPH,JEREMY,Banner Ironwood Medical Center,275.928,6
168,AVwctTiBByjofQCxhTbO,168,BONIFACIO,JOEL,O.a.s.i.s. Hospital,1740.06,20
169,AVwdv7K9kufWRAb585iL,169,SHEHAN,JOHN,Banner Goldfield Medical Center,32.064,1
170,AWrNiMwlQTFama1XpSID,170,GLASCOCK,JONATHAN,Dignity Health - Arizona General Hospital,177.98,1
171,AV12hi0xa4HuVbed9I8D,171,VERDE,JORDAN,Santa Cruz Valley Regional Hospital,143.976,19
172,AWkqgTcM3-Khe5l_2tXW,172,GADBERRY,JORDYN,Western Regional Medical Center,20.94,3
173,AVwclWyB_7pvs4fzwt5X,173,TRIMM,JOSEPH,Wickenburg Community Hospital,110.96,1
174,AWrNePCWcuP9ADUBCZ8Z,174,DOWE,JOSEPHINE,Benson Hospital,340.144,15
175,AWrNeOSHQTFama1XpR64,175,KHANG,JOSIAH,"Northern Cochise Community Hospital, Inc.",52.448,1
176,AWM8vEpZ3-Khe5l_idNR,176,MULHALL,JUAN,Page Hospital,20.16,2
177,AWhr1_mI3-Khe5l_yS_E,177,SELZER,JULIA,Hopi Health Care Center,97.264,10
178,AVwdQloekufWRAb54Asw,178,RAUB,JULIAN,Parker Indian Health Center,396.802,16
179,AV1thljSa4HuVbed8Z_u,179,ORE,JULIAN,Huhu Kam Memorial Hospital,15.88,5
180,AV1tgS84a4HuVbed8Ssu,180,COPES,JULIET,Sage Memorial Hospital,3.28,3
181,AV5Z_hLkRxPSIh2RjOgm,181,MASUDA,JULIO,Little Colorado Medical Center,24.816,8
182,AWe9AfK5RxPSIh2R6yAU,182,MOSCOSO,JUSTICE,Copper Queen Community Hospital,408.744,9
183,AVzBICUA3D1zeR_xBHdj,183,ZEITLER,JUSTIN,Holy Cross Hospital,503.96,11
184,AWjSG4nlIxWefVJwFz1R,184,MOLLICA,KAITLYN,Cobre Valley Regional Medical Center,149.95,16
185,AV1TpgHqLD2H7whiZ5lW,185,ILER,KATIE,White Mountain Regional Medical Center,29,37
186,AWkqzFhKRxPSIh2RCJx0,186,LEVENTHAL,KAYDEN,La Paz Regional Hospital,7.16,2
187,AVwcrCbdIN2L1WUfnnLQ,187,MANDERS,KAYLA,Banner Payson Medical Center,176.8,25
188,AVwdY0qUByjofQCxolhq,188,PRUE,KAYLEE,Phoenix Children's Hospital,37.224,12
189,AWBDFs0FRxPSIh2RpJwW,189,FERGERSON,KENNEDY,"Hacienda Children's Hospital, Inc.",20.016,6
190,AWjXLnyyRxPSIh2RASUl,190,BROSE,KENNEDY,Siloam Springs Regional Hospital,899.136,20
191,AWrM91j5sVYjT2BJAfWB,191,PHU,KENNETH,Johnson Regional Medical Center,71.76,1
192,AWrM54AGZ4Yw-wtdgIrU,192,DEBELLIS,KENNETH,Washington Regional Medical Center,51.84,1
193,AVwdMBXWByjofQCxmbTu,193,HAAN,KENNETH,Chi-st Vincent Infirmary,626.352,19
194,AWrM1EvzcuP9ADUBCY40,194,SCHOENING,KINGSTON,Mercy Hospital Northwest Arkansas,19.9,3
195,AWlR6APSIxWefVJwKviC,195,STAGER,KYLE,Chambers Memorial Hospital,14.28,1
196,AWF0BoY6a4HuVbedOcdl,196,DEMOS,KYLE,White County Medical Center,7.408,15
197,AVwcz19k_7pvs4fzzM5h,197,RUMBLE,KYRIE,Mena Regional Health System,6.048,1
198,AVwekpWg_7pvs4fzERqt,198,BRUNT,LANDON,Uams Medical Center,46.26,2
199,AVweUqsQkufWRAb5B7Dx,199,NIVENS,LEVI,North Arkansas Regional Medical Center,2.946,10
200,AV12i8lx3-Khe5l_Pq0g,200,MANIGAULT,LIAM,Sparks Medical Center - Van Buren,16.056,16
201,AVwdF481ByjofQCxlamw,201,BUENDIA,LILLIAN,Forrest City Medical Center,21.744,5
202,AVweHFQmkufWRAb5AF3K,202,DESCHENES,LINCOLN,St Bernards Medical Center,218.75,3
203,AVwcj4DAkufWRAb5whnN,203,WITTMER,LIPA,Northwest Medical Center-springdale,2.6,8
204,AVwdTP_RkufWRAb54dbQ,204,HAMON,LOGAN,Chi St. Vincent Hospital Hot Springs,66.284,9
205,AWiEBGy03-Khe5l_ym4U,205,HENTZ,LUCAS,Baxter Regional Medical Center,35.168,11
206,AVzX9g6BFcQ3k02bCEz5,206,LOUD,LUCAS,Conway Regional Medical Center,444.768,16
207,AWkqzShiIxWefVJwHy2J,207,OSEGUERA,LUCIA,Baptist Health Medical Center North Little Rock,83.92,37
208,AWjd4C3F3-Khe5l_1CUm,208,RAYO,LUCY,Arkansas Methodist Medical Center,131.98,2
209,AV1beGM43D1zeR_xFZ3m,209,MACFARLAND,LYLA,St Marys Regional Medical Center,15.92,25
210,AVwdI0JGkufWRAb52rBw,210,MIMMS,MADELINE,Five Rivers Medical Center,52.29,12
211,AVwdIdTDByjofQCxl0ao,211,GRUNEWALD,MAIA,Ouachita County Medical Center,91.99,6
212,AWkq1GAI3-Khe5l_27c9,212,HARTNESS,MAKAYLA,Drew Memorial Hospital,20.8,20
213,AWrMIba0Z4Yw-wtdgHjX,213,WYNKOOP,MALKY,Sparks Regional Medical Center,23.68,1
214,AWmf_r7xIxWefVJwMY1g,214,WALLINGFORD,MARIO,Mercy Hospital Fort Smith,452.45,1
215,AWrMDkV6sVYjT2BJAeBf,215,JUERGENS,MATTEO,Magnolia Hospital,62.982,19
216,AWhu44NC3-Khe5l_yW76,216,MESZAROS,MATTEO,Great River Medical Center,1188,3
217,AV1beLFhFcQ3k02bF5M6,217,RIEHLE,MAXIM,Jefferson Regional Medical Center,89.584,1
218,AWrL9ryoQTFama1XpPe4,218,TREGO,MAYER,Baptist Health Medical Center-stuttgart,93.06,15
219,AWkq1x0q3-Khe5l_29Wz,219,NEECE,MELINA,North Metro Medical Center,302.376,1
220,AWAGE42BIxWefVJwuGy4,220,COGGIN,MELISSA,Baptist Health Medical Center-hot Springs County,5.584,2
221,AWrL6DZLQTFama1XpPVW,221,BURRILL,MELODY,National Park Medical Center,22.704,10
222,AWrL5m79Z4Yw-wtdgG7v,222,LAUREL,MENDEL,Saline Memorial Hospital,19.776,16
223,AV6MB0iIIxWefVJwqYLA,223,ROUTT,MILA,Helena Regional Medical Center,72.704,5
224,AWFk2HJlRxPSIh2RtPX4,224,RODGER,MIREL,Medical Center Of South Arkansas,479.988,3
225,AVwc0GNEByjofQCxieao,225,KRUM,MOLLY,Baptist Health Medical Center-little Rock,27.168,8
226,AWrLvj2gcuP9ADUBCWz3,226,FAULKENBERRY,MYA,Nea Baptist Memorial Hospital,2.2,9
227,AWmfMlKga4HuVbedosmu,227,LABADIE,NATALIE,White River Medical Center,622.45,11
228,AVwcmJXbByjofQCxgDJS,228,HEMMING,NATHANIEL,Levi Hospital,21.98,16
229,AWrLtI0BcuP9ADUBCWsV,229,FULP,NIA,"Arkansas Heart Hospital, Llc",161.568,37
230,AVwdNj_OkufWRAb53fDL,230,JAMAL,NICOLAS,St Vincent Medical Center/north,389.696,2
231,AV1beGV5LD2H7whiahlv,231,DELONEY,NOLAN,Arkansas Surgical Hospital,18.648,25
232,AWrLqyVPcuP9ADUBCWjr,232,FELLS,NOVA,Northwest Health Physicians Specialty Hospital,233.86,12
233,AWrLp59wQTFama1XpOi7,233,BOHNERT,OWEN,Wadley Regional Medical Center At Hope,620.6145,6
234,AWrLp5dzZ4Yw-wtdgGMT,234,KAPADIA,OWEN,Baptist Health Medical Center-conway,5.328,20
235,AWrLooa0Z4Yw-wtdgGIh,235,GUILL,PAIGE,Arkansas Continued Care Hospital Of Jonesboro,258.072,1
236,AWrLlEjksVYjT2BJAcgV,236,COOP,PAIGE,North Logan Mercy Hospital,617.976,1
237,AWoxpq3xQTFama1XfIjH,237,BROADHURST,PAIGE,River Valley Medical Center,10.56,19
238,AVzRVrGg3D1zeR_xBV5l,238,MCCRIMMON,PARIS,Mercy Hospital Turner Memorial,25.92,3
239,AVwdTLTmByjofQCxnpqi,239,BONFIGLIO,PARKER,"Eureka Springs Hospital, Llc",419.68,1
240,AV1dupvt3-Khe5l_Mv08,240,CAPETILLO,PARKER,Mercy Hospital Waldron,11.688,15
241,AWrLftTOcuP9ADUBCV6G,241,CHAMORRO,PENELOPE,"Izard County Medical Center, Llc",31.984,1
242,AWrLfrxNQTFama1XpN7f,242,GARGIULO,PESSY,Crossridge Community Hospital,177.225,2
243,AVwd-cVjByjofQCxuLL4,243,STOEHR,PINCHUS,Mcgehee Hospital,4.044,10
244,AVwdi3XtByjofQCxqKVJ,244,SCHLECHT,QUEENA,Lawrence Memorial Hospital,7.408,16
245,AV6MAG6QRxPSIh2Rkzqs,245,KARLSON,RAIZEL,Stone County Medical Center,2001.86,5
246,AV43X-QC3-Khe5l_SRBo,246,GARTEN,RICHARD,Howard Memorial Hospital,166.72,3
247,AWrLau5MsVYjT2BJAb6B,247,REMER,RIFKY,Baptist Health Medical Center Heber Spings,47.88,8
248,AWrLat3hsVYjT2BJAb58,248,MEBANE,ROSE,Ozark Health,1503.25,9
249,AWrLat24QTFama1XpNoe,249,FINNIGAN,ROSE,"Dewitt Hospital & Nursing Home, Inc",25.92,11
250,AWrLatjuQTFama1XpNob,250,BOURDEAU,RYDER,South Missississpi County Regional Medical Center,321.568,16
